ts_utc,run_id,phase,endpoint_label,endpoint_host,latency_ms,success,ldap_rc
2026-02-12T11:00:01Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,365,1,0
2026-02-12T11:00:01Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,368,1,0
2026-02-12T11:00:02Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,418,1,0
2026-02-12T11:00:02Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,343,1,0
2026-02-12T11:00:02Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,384,1,0
2026-02-12T11:00:03Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,389,1,0
2026-02-12T11:00:04Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,359,1,0
2026-02-12T11:00:04Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,352,1,0
2026-02-12T11:00:05Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,396,1,0
2026-02-12T11:00:05Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,365,1,0
2026-02-12T11:00:05Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,365,1,0
2026-02-12T11:00:06Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,396,1,0
2026-02-12T11:00:06Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,372,1,0
2026-02-12T11:00:07Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,366,1,0
2026-02-12T11:00:51Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,346,1,0
2026-02-12T11:00:51Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,349,1,0
2026-02-12T11:00:51Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,387,1,0
2026-02-12T11:00:52Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,369,1,0
2026-02-12T11:00:52Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,365,1,0
2026-02-12T11:00:52Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,389,1,0
2026-02-12T11:00:54Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,349,1,0
2026-02-12T11:00:54Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,350,1,0
2026-02-12T11:00:54Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:00:55Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,339,1,0
2026-02-12T11:00:55Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,364,1,0
2026-02-12T11:00:55Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,389,1,0
2026-02-12T11:00:56Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,356,1,0
2026-02-12T11:00:56Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,349,1,0
2026-02-12T11:00:57Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,383,1,0
2026-02-12T11:00:58Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,361,1,0
2026-02-12T11:00:58Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,368,1,0
2026-02-12T11:00:58Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,397,1,0
2026-02-12T11:00:59Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,343,1,0
2026-02-12T11:00:59Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,370,1,0
2026-02-12T11:00:59Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,389,1,0
2026-02-12T11:01:01Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,362,1,0
2026-02-12T11:01:01Z,20260212T105929Z,phase2,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,361,1,0
2026-02-12T11:01:01Z,20260212T105929Z,phase2,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T11:01:02Z,20260212T105929Z,phase2,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,339,1,0
