ts_utc,run_id,phase,uid,endpoint_label,endpoint_host,ack_ms,first_visible_ms,lag_ms,probe_status
2026-02-12T11:01:25Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-19,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894084046,1770894085214,1168,ok
2026-02-12T11:01:26Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-20,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894086106,1770894086544,438,ok
2026-02-12T11:01:26Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-20,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894086106,1770894086919,813,ok
2026-02-12T11:01:27Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-20,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894086106,1770894087282,1176,ok
2026-02-12T11:01:28Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-21,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894088170,1770894088604,434,ok
2026-02-12T11:01:28Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-21,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894088170,1770894088964,794,ok
2026-02-12T11:01:29Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-21,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894088170,1770894089326,1156,ok
2026-02-12T11:01:30Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-22,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894090220,1770894090656,436,ok
2026-02-12T11:01:31Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-22,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894090220,1770894091004,784,ok
2026-02-12T11:01:31Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-22,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894090220,1770894091372,1152,ok
2026-02-12T11:01:32Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-23,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894092281,1770894092721,440,ok
2026-02-12T11:01:33Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-23,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894092281,1770894093087,806,ok
2026-02-12T11:01:33Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-23,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894092281,1770894093459,1178,ok
2026-02-12T11:01:34Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-24,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894094360,1770894094810,450,ok
2026-02-12T11:01:35Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-24,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894094360,1770894095179,819,ok
2026-02-12T11:01:35Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-24,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894094360,1770894095539,1179,ok
2026-02-12T11:01:38Z,20260212T105929Z,phase3_soak,lt-20260212T105929Z-25,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894097704,1770894098159,455,ok
